No,Perusahaan,Alamat,KBLI
80.,PT  Wana Cahaya Nugraha,"Jl Raya Klakah RT.002 RW.010, Mlawang, Klakah, Kabupaten Lumajang, Jawa Timur Telp. 0334442002",16211
1.,CV  A Tiga Digital Printing,Telp.,
2.,PT  Adhisakti Solusi Komputindo,"APL Tower Lantai 9/T6, Jl.Letjen S.Parman Kav.28, Tanjung Duren
Selatan, Grogol Petamburan, Kota Jakarta Barat, DKI Jakarta Telp. 02129034320",
3.,CV  Adimas Jaya Sejahtera,"JL. MERAPI KAVLING 2038, Desa/Kelurahan Serua, Kec. Ciputat, Kota Tangerang Selatan, Serua, Ciputat, Kota Tangerang Selatan, Banten Telp. 081*********",28199
4.,PT  Adira Semesta Industry,"Jl. Terusan Katapang Km.12 Katapang Kulon Kampung Baraja No.88 RT.001 RW.015., Cilampeni, Katapang, Kabupaten Bandung, Jawa Barat Telp. 081*********",14132
5.,PT  Agro Murni,"Dumai, Tanjung Penyebal, Sungai Sembilan, Kota Dumai, Riau Telp. 021 45848194",10437
6.,PUD  Agro Selaparang,"Jalan Koperasi No. 1, Aikmel Barat, Aikmel, Kabupaten Lombok Timur, Nusa Tenggara Barat Telp. 82834",
7.,PT  AICA INDONESIA,"Kawasan Industri Indotaisei, Sector 1A, Blok K-5B, Kalihurip, Cikampek, Kabupaten Karawang, Jawa Barat Telp. 0264-8302060",17099
8.,CV  Airaqua,"Jl. Pendidikan, Paal, Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat Telp. 081*********",11052
9.,PT  AKR CORPORINDO,"Jalan Coaster No. 16, Tanjung Mas, Semarang Utara, Kota Semarang, Jawa Tengah Telp. 024 - 3546066",19291
10.,PR  Al Fayid,"LIK IHT Kudus, Desa Megawon, Kec. Jati, Kab. Kudus, Megawon, Jati, Kabupaten Kudus, Jawa Tengah Telp. 085*********",12011
11.,PT  Alam Raya Megatama,"JL. Rungkut Industri IV No.34, Rungkut Tengah, Gunung Anyar, Kota Surabaya, Jawa Timur Telp. 0318411496",10740
12.,PT  Alaska Food Industry,"Jl. Rungkut Industri IV no. 24A, Rungkut Tengah, Gunung Anyar, Kota Surabaya, Jawa Timur Telp. 0318436611",10531
13.,PT  Alia Digital Printex,"Jl. Kampung Kandang Gang Manggis, Jagakarsa, Jagakarsa, Kota Jakarta Selatan, DKI Jakarta Telp. 021-7261826",13921
14.,PT  Aman Agrindo,"Jl. Raya Panimbang Kampung Tegal Papak Lor, Tegalpapak, Pagelaran, Kabupaten Pandeglang, Banten Telp. 087*********",10722
15.,PT  Andika Karya Utama,"Kawasan Tarogong (R Sunaryo) Jl. Raya Lapan Mekarsari 2, Mekarsari, Rumpin, Kabupaten Bogor, Jawa Barat Telp. +62 21 27514800",25999
16.,PR  ANDRIANA MAH BENGI,"Jl.yosudarso, Blang Kolak II, Bebesen, Kabupaten Aceh Tengah, Nangroe Aceh Darussalam Telp. 081*********",20232
17.,CV  Antartika Ice,"Jl. Lingkar Utara, Bacin, Bae, Kabupaten Kudus, Jawa Tengah Telp. 081*********",35302
18.,CV  Anugrah Karya,"Jl Badak V No.2, Pandean Lamper, Gayamsari, Kota Semarang, Jawa Tengah Telp. 0246718323",15201
19.,CV  Ars Pratama,Telp.,
20.,PT  ASSYAFA BERKAH MAKMUR,"Jln. Merak 2 lk. 1 pinang jaya kemiling, Pinang Jaya, Kemiling, Kota Bandar Lampung, Lampung Telp. 089**********",13134
201.,PR A.Sultan,"Jl. Kemakmuran, Banyorang, Tompo Bulu, Kabupaten Bantaeng, Sulawesi Selatan Telp. 085*********",11090
202.,PR A.Syalman Al Farisy,"Desa Bancelok, Bancelok, Jrengik, Kabupaten Sampang, Jawa Timur Telp. 081*********",12011
203.,PR A.tenri,"Gattareng, Gattareng Toa, Marioriwawo, Kabupaten Soppeng, Sulawesi Selatan Telp. 082*********",10794
204.,PT A.W.FABER-CASTELL INDONESIA,"JL. RAYA NAROGONG PANGKALAN 1B, BANTAR GEBANG BEKASI 17151, Bantargebang, Bantargebang, Kota Bekasi, Jawa Barat Telp. 021-8250755",32901
205., A2,Telp.,
206.,PR A3 Alumunium,Telp.,
207.,PR Aa Cookies,Telp.,
208.,CV AA Dinamic Grup,"KP CISEUREUH RT006 RW002, Cibodas, Bungursari, Kabupaten Purwakarta, Jawa Barat Telp. 083*********",14131
209.,PR Aa Food,"Jl Saringan E31 komplek PUSMET RT 01 RW 02, Sungai Baru, Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung Telp. 085*********",10792
210.,PR Aa Fresh (depo Air Siap Minum),Telp.,
211.,PR Aa Hfn,"jl. air itam kp. samak sampur no.41, RT.03/RW.01, Sinar Bulan, Bukitintan, Kota Pangkal Pinang, Kepulauan Bangka Belitung Telp. 081*********",10794
212.,CV Aa Santa Internasional Tailor,"Jl. KH. A Dahlan, Sukajadi, Sukajadi, Kota Pekanbaru, Riau Telp. 081*********",14111
213.,CV Aa Sejahtera Bersama,Telp.,
214.,PR Aa Sugiri,"DESA KALBANG, Desa/Kelurahan Kalbang, Kec. Lais, Kab. Bengkulu Utara, Provinsi Bengkulu, Kalbang, Lais, Kabupaten Bengkulu Utara, Bengkulu Telp. 628**********",16291
215.,PR Aa Tech,Telp.,
216.,PT Aaa Design Studio,Telp.,
217.,PR Aad Purwanto Al Suhad,"Tumanggal RT 14 RW 05, Tumanggal, Pengadegan, Kabupaten Purbalingga, Jawa Tengah Telp. 087*********",10531
218.,PT Aae Outdoor Indonesia,"Gedung Panorama Jl. Raya Bangsri, Bangsri, Bulakamba, Kabupaten Brebes, Jawa Tengah Telp. 081*********",15121
219.,PR Aaf Falahudin,"Blok II RT 001 RW 006, Leuwikidang, Kasokandel, Kabupaten Majalengka, Jawa Barat Telp. 081*********",10510
220.,PT Aagney Cocoa Persada,"Jl. Raya Kaba-kaba, Banjar Carik Padang, Nyambu, Kediri, Kabupaten Tabanan, Bali Telp. 087*********",10732
181.,PR A. Solikhul Anwar,"LINGKUNGAN GLONDONG, Desa/Kelurahan Satreyan, Kec. Kanigoro, Kab. Blitar, Provinsi Jawa Timur, Satreyan, Kanigoro, Kabupaten Blitar, Jawa Timur Telp. 081*********",11090
182.,PR A. Sri Anggeraeny. M,"Jalan Jenderal Sudirman, Biringere, Sinjai Utara, Kabupaten Sinjai, Sulawesi Selatan Telp. +6281242232575",10710
183.,PR A. Sulaiman H A Loeloe,"Bukit Hartaco Indah Blok 1A No. 29, Sudiang Raya, Biringkanaya, Kota Makassar, Sulawesi Selatan Telp. 085*********",11040
184.,PR A. Tenriola Rakhmaningsih,"Jalan Basuki Rahmat, Biringere, Sinjai Utara, Kabupaten Sinjai, Sulawesi Selatan Telp. 082*********",13133
185.,PR A. Yuliansyah,Telp.,
186.,PR A.a Sagung Mastini,"JL. TURI NO.5 DPS, BR/LINK. PEKANDELAN KAUH, Desa/Kelurahan Kesiman, Kec. Denpasar Timur, Kota Denpasar, Provinsi Bali, Kesiman, Denpasar Timur, Kota Denpasar, Bali Telp. 081*********",32903
187.,PR A.Aspur,"Perum Mutira Selatan NO. F 08, Kenali Asam Bawah, Kota Baru, Kota Jambi, Jambi Telp. 082*********",10794
188.,PR A.d Geno Alvio,"MUKAI MUDIK, Mukai Mudik, Siulak Mukai, Kabupaten Kerinci, Jambi Telp. 082*********",10799
189.,PR A.ely Herlinawati,Telp.,
190.,PR A.h Mintardja,"Jl Ha Salim No 128 Kota Madiun, Nambangan  Lor, Manguharjo, Kota Madiun, Jawa Timur Telp. 0351-464518",10771
191.,PR A.h Nasution Hasan,Telp.,
192.,PR A.kushartiyastuti,"Jl.KH.M.Naim III/28 RT 007 RW 009 Cipete Utara, Kebayoran Baru, Jakarta Selatan 12150, Cipete Utara, Kebayoran  Baru, Kota Jakarta Selatan, DKI Jakarta Telp. 087*********",10772
193.,PR A.lazim,"Lingkungan IV, Indralaya Mulia, Indralaya, Kabupaten Ogan Ilir, Sumatera Selatan Telp. 083*********",18111
194.,PR A.Muh. Jalal Ikram,Telp.,
195.,PR A.nila,"Lombongan, Tammerodo Utara, Tammerodo Sendana, Kabupaten Majene, Sulawesi Barat Telp. -",10710
196.,PR A.r. Widiyanto,"PERUMAHAN KAYAN RESIDENCE, Tanjung Selor Timur, Tanjung Selor, Kabupaten Bulungan, Kalimantan Utara Telp. 085*********",10313
197.,PR A.risky Nurfadhillah,"Jalan Veteran, Watampone, Tanete Riattang, Kabupaten Bone, Sulawesi Selatan Telp. 085*********",10792
198.,PR A.rosmiati,"Jl.Perumahan paser alam permai blok A/4 RT.002, Penajam, Penajam, Kabupaten Penajam Paser Utara, Kalimantan Timur Telp. 081*********",10794
199.,PR A.st.husna,"Jl. H. A. Tanjong No 36, Maddukelleng, Tempe, Kabupaten Wajo, Sulawesi Selatan Telp. 081*********",
200.,PR A.subaeri,"Jl. Rutan, Lingk. I, Lekessi, Maritengngae, Kabupaten Sidenreng Rappang, Sulawesi Selatan Telp. 081*********",31001
161.,PR A. Efiana,"JL.TUJUH WALI - WALI LOLLOE, Lalabata Rilau, Lalabata, Kabupaten Soppeng, Sulawesi Selatan Telp. 085*********",11052
162.,PR A. Elly Munawarawanti. S,"Lembang, Lembang, Banggae Timur, Kabupaten Majene, Sulawesi Barat Telp. 085*********",10792
163.,PR A. Ernawati,Telp.,
164.,PR A. Haliati,"PERUM PGRI BLOK. R NO. 02, Desa/Kelurahan Gunungbahagia, Kec. Balikpapan Selatan, Kota Balikpapan, Provinsi Kalimantan Timur, Gunungbahagia, Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur Telp. 085*********",10710
165.,PR A. Hanafi Kusuma Soeseno,"JL. SATURNUS UJUNG VI S/134, Manjahlega, Rancasari, Kota Bandung, Jawa Barat Telp. 081*********",
166.,PR A. Indah Hayati,"Jl. Veteran, Bajoe, Tanete Riattang Timur, Kabupaten Bone, Sulawesi Selatan Telp. 085*********",10772
167.,PR A. Kadir,"Dusun II Kelurahan Ulak Teberau, Ulak Teberau, Lawang Wetan, Kabupaten Musi Banyuasin, Sumatera Selatan Telp. 081*********",10794
168.,PR A. Muzkirah,"Dusun Bongki, Bongki Lengkese, Sinjai Timur, Kabupaten Sinjai, Sulawesi Selatan Telp. 082*********",10793
169.,PR A. Nilawati Galib,"BTN CAHAYA TIGA BERLIAN BLOK J5 NO. 7, Bentengnge, Watang Sawito, Kabupaten Pinrang, Sulawesi Selatan Telp. 081*********",10750
170.,PR A. Nurlia,"tandakan, Amassangan, Binuang, Kabupaten Polewali Mandar, Sulawesi Barat Telp. 085*********",14111
171.,PR A. PAMADENG LETTE,"Jl. RA. Kartini, Puncak Indah, Malili, Kabupaten Luwu Timur, Sulawesi Selatan Telp. 081*********",11052
172.,PR A. Rahmat Jaya,"Dusun Naga, Ketawang Karay, Ganding, Kabupaten Sumenep, Jawa Timur Telp. 081*********",12011
173.,PR A. Ratman Saleh,"SINAR SEMENDO TALANG PADANG, Sinar Semendo, Talang Padang, Kabupaten Tanggamus, Lampung Telp. 00000",
174.,PR A. Rezky Ananda Putri,"LABALAKANG, Amassangeng, Lansirang, Kabupaten Pinrang, Sulawesi Selatan Telp. 082*********",10794
175.,PR A. Rina Jaya Iskandar,"JL. ABD. SYAKUR, Karema, Mamuju, Kabupaten Mamuju, Sulawesi Barat Telp. 085*********",10792
176.,PR A. Ro Im,"Dusun Mandala RT.012/ RW.006, Ketawang Karay, Ganding, Kabupaten Sumenep, Jawa Timur Telp. 081*********",12011
177.,PR A. Robes Solin,"Laembereng, Kuta Meriah, Kerajaan, Kabupaten Pakpak Bharat, Sumatera Utara Telp. +62 852-6074-9602",16221
178.,CV A. Rosita,"Jl.Trans Bone Pantai, Huangobotu, Kabila Bone, Kabupaten Bone Bolango, Gorontalo Telp. 081********",11051
179.,PR A. Sitti Nurlaelah,"Jl. Haluoleo Lrg. Perum. Green Anduonohu, Andonohu, Poasia, Kota Kendari, Sulawesi Tenggara Telp. 085*********",
180.,PR A. Sodikin,"Jolontoro Rt 008 Rw 001, Jolontoro, Sapuran, Kabupaten Wonosobo, Jawa Tengah Telp. 082*********",10799
121.,PR 99,"Jl. Maleer V no. 294 A / 118, Maleer, Batununggal, Kota Bandung, Jawa Barat Telp.",10732
122.,PR 999 Galonindo,Telp.,
123., A & A,Telp.,
124.,PT A & P Industry Indonesia,"Jl. Jababeka VI Blok J No.5A, Kawasan Industri Jababeka Phase I, Harjamekar, Cikarang Utara, Kabupaten Bekasi, Jawa Barat Telp. +622189836281",25920
125.,PR A A Gd Oka Yasa,"DUSUN PENINJOAN DESA PAKSEBALI, Desa/Kelurahan Paksebali, Kec. Dawan, Kab. Klungkung, Provinsi Bali, Paksebali, Dawan, Kabupaten Klungkung, Bali Telp. 085*********",32903
126.,PR A A Gede Oka Somajaya,"Dusun Bucu, Paksebali, Dawan, Kabupaten Klungkung, Bali Telp. 085*********",32903
127.,PT A And One Precision Engineering Indonesia,"Jln.Asoka Lot SD 62-63 Bintan Inti Estate Lobam, Teluk Lobam, Seri Kuala Lobam, Kabupaten Bintan, Kepulauan Riau Telp. 0770696188",25920
128.,PR A Andry Isdar Alfiansyah,"Jl. Poros Kariango Perumahan Rachita Garden 1 F4 No.10, Kurusumange, Tanralili, Kabupaten Maros, Sulawesi Selatan Telp. 085*********",10794
129.,PR A Anishar Sultan,Telp.,
130.,CV A B R I Al Amien,"Dusun Perca, Desa Pesanggar, Pasanggar, Pegantenan, Kabupaten Pamekasan, Jawa Timur Telp. 087*********",11051
131.,PR A Beng,"Jl. Riau Ujung GG. Karya Bakti, Air Hitam, Payung Sekaki, Kota Pekanbaru, Riau Telp. 081********",10729
132.,PR A Emelia,"BTN Wesabbe II Blok B No 25, Bonto Matene, Mandai, Kabupaten Maros, Sulawesi Selatan Telp. 081*********",10792
133.,PR A Husmaentin,"Jl. Sungai Limboto BTN Griya Amanda 2 Blok B No. 26, Ta, Tanete Riattang, Kabupaten Bone, Sulawesi Selatan Telp. 085*********",10799
134.,PT A Ju Asiatex,"jl raya bandung garut km 28, panenjoan, cicalengka, Kabupaten Bandung, Jawa Barat Telp. 0227949732",13121
135.,PR A Mang,"Jl. Semangka, Tanjung Selor Hilir, Tanjung Selor, Kabupaten Bulungan, Kalimantan Utara Telp. 082*********",11040
136.,PR A Naniek,"JL.MOCH TOHA GG.EMPANG, Ciseureuh, Regol, Kota Bandung, Jawa Barat Telp. +6281222373834",10794
137.,PR A Nurhayati Idris,Telp.,
138.,PR A Paryanti,Telp.,
139.,PR A QODHIRI HUZAINI,"Desa Bicorong, Bicorong, Pakong, Kabupaten Pamekasan, Jawa Timur Telp. -",12011
140.,PR A Rachmila Maulana Kasmat,Telp.,
101.,PT 3a Precise Scale,"Jl.Veteran RT05/RW04, Kebon Kelapa, Pasar Kemis, Kabupaten Tangerang, Banten Telp. 021-5904080",28192
102.,PT 3d Tech,Telp.,
103.,PT 3di Garmentech,"Jl. HH No. 68 Rt 008 Rw 001, Kebon Jeruk, Kebon Jeruk, Kota Jakarta Barat, DKI Jakarta Telp. 0215321855",32904
104.,PR 3kyla Kitchen,"Jl.Am Sangaji, Kelurahan Baru, No.13, RT. 9, Kecamatan Tengggarong, Kampung Baru, Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur Telp. 085*********",
105.,PT 3M INDONESIA,"3M Indonesia, Karawang Plant | JL Maligi VIII LOT R2, KIIC 41361 | Indonesia, Margakaya, Telukjambe, Kabupaten Karawang, Jawa Barat Telp. 021-29974362",29300
106.,PR 3n Craft,"Kp.Cisurupan, Citeureup, Cimahi Utara, Kota Cimahi, Jawa Barat Telp. 085*********",14131
107.,PR 3r Cake Cookies,"Jl. Bayam Gg Sunar Lk. III, Paya Roba, Binjai Barat, Kota Binjai, Sumatera Utara Telp. 081*********",
108.,CV 3s Indonesia,"Jalan Kebon Cau No. 10, Kosambi, Sukadiri, Kabupaten Tangerang, Banten Telp. 085*********",22199
109.,PT 3S INTERNATIONAL,"JL KAPUK KENCANA NO 8A-B, Kapuk Muara, Penjaringan, Kota Jakarta Utara, DKI Jakarta Telp. 02129319899",26514
110.,PR 4 Nur,Telp.,
111.,CV 44 Dewi Sri,"Bandungrejo, Bandungrejo, Ngasem, Kabupaten Bojonegoro, Jawa Timur Telp. 085*********",10631
112.,PT 4net Prima Solusi,Telp.,
113.,PR 5 Saudara,"KAMPUANG TANGAH BALAI BAIK, Balai Baiak Malai III Koto, IV Koto Aur Malintang, Kabupaten Padang Pariaman, Sumatera Barat Telp. -",10793
114.,BUT 5v,"Jl. Empu Gandring No 51, Kedundung, Magersari, Kota Mojokerto, Jawa Timur Telp. 081*********",10794
115.,PR 7 Loeng,"Brang Wetan RT 03 RW 03, Kalipucang Wetan, Welahan, Kabupaten Jepara, Jawa Tengah Telp. 089*********",12019
116.,PR 7 Saudara,"jl. narasinga, gg. cik yunus, no 149, rengat, Kampung Besar Kota, Rengat, Kabupaten Indragiri Hulu, Riau Telp. 081*********",10794
117.,PR 7cake&cookies,"Jl nusa indah no 14 rt 3 rw 13, Jayaraga, Tarogong Kidul, Kabupaten Garut, Jawa Barat Telp. 081*********",10710
118.,PT 8 Elements,Telp.,
119.,PT 84.607.176.9-003.000,Telp.,
120.,CV 88,Telp.,
81.,PT  Warisan Eurindo,"Jl. Raya Padang Luwih No. 198, Br. Tegal Jaya RT/RW 000/000, Dalung, Kuta Utara, Kabupaten Badung, Bali Telp. +62361 421752",31001
82.,PT  Waskita Adji,"Jl. Sekar Jagad No.D5, Dusun I, Makamhaji, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57161, Makamhaji, Kartasura, Kabupaten Sukoharjo, Jawa Tengah Telp. -",30990
83.,PT  XINGYUN INDONESIA,Telp.,
84.,UD  Yanti Ulos,"kelurahan baringin, Baringin, Sipirok, Kabupaten Tapanuli Selatan, Sumatera Utara Telp. 085*********",13121
85.,PT  Yasunli Abadi Utama Plastik,"JL. SELAYAR BLOK J-5, Mekarwangi, Cikarang Barat, Kabupaten Bekasi, Jawa Barat Telp. 021-8981010",22299
86.,PR  Zaki Waladi,"Desa Pengabean RT 05 RW 01 Kec. Dukuhturi Kab. Tegal, Pengabean, Dukuhturi, Kabupaten Tegal, Jawa Tengah Telp. 085*********",24320
87.,PR  ZAMZAMI,"DSN. BICABBIH, Samaran, Tambelangan, Kabupaten Sampang, Jawa Timur Telp. 085*********",10794
88.,BUT (BUT) PETROGAS (BASIN) LTD,Telp.,
89.,PT (perorangan) Darwin Dinata / Ud. Berjaya Utama,Telp.,
90., (perorangan) Djoni Tjandra / Tjandra Plastik,Telp.,
91.,BHL 0603230027268,Telp.,
92.,PR 2 Putri Ibu Susi,"Simpang Tigo Aur Malintang, III Koto Aur Malintang
Selatan, IV Koto Aur Malintang, Kabupaten Padang Pariaman, Sumatera Barat Telp. -",10793
93.,CV 2 Saudara,"Jln. Cisadane no. 19, RT. 003, RW. 003, Alai Parak Kopi, Padang Utara, Kota Padang, Sumatera Barat Telp. +62 813-6355-6839",14111
94.,PR 2.f Cakery,"Jl. Pemuda Bukit Batakan Permai Blok C9 No. 13, Manggar, Balikpapan  Timur, Kota Balikpapan, Kalimantan Timur Telp. 087*********",10710
95.,PR 23,"Desa Welahan RT. 002/002, Welahan, Welahan, Kabupaten Jepara, Jawa Tengah Telp. 081*********",12013
96.,PR 28 Digital Print,"jl amir mahmud no 795, padasuka, cimahi tengah, Kota Cimahi, Jawa Barat Telp. 083*********",18111
97.,PR 2r Handycrat,"Jalan P.Singkep gg AMD Sukabumi Bandar Lampung, Sukabumi, Sukabumi, Kota Bandar Lampung, Lampung Telp. 089*********",32903
98.,CV 3 Mutiara Company,"JLN. 20 DESEMBER NO 40, PEGADUNGAN, KALIDERES, Kota Jakarta Barat, DKI Jakarta Telp. 02129448955",15201
99.,PR 3 Srikandi,Telp.,
100.,PT 360 Bali Multimedia,Telp.,
61.,PR  Oke Semar Gambang ,"Desa Parerejo, Parerejo, Purwodadi, Kabupaten Pasuruan, Jawa Timur Telp. 081********",10793
62.,BUL  Persekutuan dan Perkumpulan SUMBER TANI,"Dusun Woko Rahmat, Woko, Pajo, Kabupaten Dompu, Nusa Tenggara Barat Telp. 082*********",12011
63.,PR  PETRUS WANGGE,"KOTABARU, Desa/Kelurahan Kotabaru, Kec. Kota Baru, Kab. Ende, Kotabaru, Kota Baru, Kabupaten Ende, Nusa Tenggara Timur Telp. 081*********",10611
64.,CV  Raung Rimba Raya,Telp.,
65.,PT  Realindo Utama Delapan Tujuh,"SAPTORENGGO RT/RW 003/004 KEC. PAKIS, KAB. MALANG, Saptorenggo, Pakis, Kabupaten Malang, Jawa Timur Telp. 081*********",14120
66.,PT  Sedata Jaya Mas,"JALAN MARTINUS LUBIS, Rantauprapat, Rantau Utara, Kabupaten Labuhanbatu, Sumatera Utara Telp. 082*********",20123
67.,PT  Seribu Lokal Indonesia,Telp.,
68.,PT  Skl Logam Primamandiri,"Jl. Brigjen Katamso No. 17, Tanjung Uncang, Batu Aji, Kota Batam, Kepulauan Riau Telp. 085*********",
69.,PR  SLAMET BASUKI,"Kemiri Sewu RT 001RW 003, Cacaban Lor, Bener, Kabupaten Purworejo, Jawa Tengah Telp. 081*********",14111
70.,PT  Spo Agro Resources,"Jl. Pue Kodi Blok Pantai, Kayumalue  Pajeko, Palu Utara, Kota Palu, Sulawesi Tengah Telp. 082*********",10423
71.,CV  Subagiyo Plastindo,"CINDEREJO LOR RT. 001 RW. 004, Gilingan, Banjarsari, Kota Surakarta, Jawa Tengah Telp. 0271 - 719060",22299
72.,PT  Sumatera Palma Andalan,"Desa Tambangan, Desa/Kelurahan Tambangan, Kec. BTS. Ulu, Kab. Musi Rawas, Provinsi Sumatera Selatan, Tambangan, BTS. Ulu, Kabupaten Musi Rawas, Sumatera Selatan Telp. 07618655406",10431
73.,PT  Sumber Wijaya Sakti,"Trayem Bendo, Sirahan, Salam, Kabupaten Magelang, Jawa Tengah Telp. -",19291
74.,PT  Summit Travel Goods,"Jl. Raya Ngabul - Mantingan KM 1 No. 98, Ngabul, Tahunan, Kabupaten Jepara, Jawa Tengah Telp. 082*********",15121
75.,PT  Tandoox Global Indonesia,"Komplek Pergudangan DPR Blok B Nomor 343, Nerogtog, Pinang, Kota Tangerang, Banten Telp. 02155716855",
76.,PT  Tdci Plastic International,"JL MOJO, NGIJO KULON,  BURAN, TASIKMADU KAB. KARANGANYAR JAWA TENGAH, Buran, Tasikmadu, Kabupaten Karanganyar, Jawa Tengah Telp. (0721) 6013004",13133
77.,PT  Tirta Cipta Nugroho,"Jl. Gunung Kelir Kawasan Industri Wijayakusuma, Karanganyar, Tugu, Kota Semarang, Jawa Tengah Telp. 0248660202",20118
78.,PT  Varia Usaha Beton,"Dusun Jatikunci Desa Sumbersuko, Sumbersuko, Gempol, Kabupaten Pasuruan, Jawa Timur Telp. 085*********",23953
79.,PR  Wadzik Jaya,"Komplek LIK - IHT Gedung K, Megawon, Jati, Kabupaten Kudus, Jawa Tengah Telp. 085*********",12011
80.,PT  Wana Cahaya Nugraha,"Jl Raya Klakah RT.002 RW.010, Mlawang, Klakah, Kabupaten Lumajang, Jawa Timur Telp. 0334442002",16211
41.,PT  Ilham Sejahtera Indonesia,Telp.,
42.,PT  Indah Bukit Nusatama,"Jl.Gedebage Selatan No.6, Babakan Penghulu, Cinambo, Kota Bandung, Jawa Barat Telp. 02245727126",25113
43.,PT  Inocycle Technology Group Tbk,"Kp. Marengmang 1 Rt.003 Rw.001 Desa Marengmang Kec.Kalijati Kab.Subang, Marengmang, Kalijati, Kabupaten Subang, Jawa Barat Telp. 081*********",38302
44.,PT  Inti Idola Anugerah,"JALAN PENGGUNG JATINOM KM. 1 PETUNG, Blanceran, Karanganom, Kabupaten Klaten, Jawa Tengah Telp. 02725600002",10750
45.,PT  JAVASARI MITRA PRIMA,"Jl. Jababeka Raya Blok Q No.1, Kawasan Industri Jababeka, Desa Wangunharja, Wangunharja, Cikarang Utara, Kabupaten Bekasi, Jawa Barat Telp. 02189983876",10710
46.,PT  Kapal Api Global,Telp.,
47.,PR  KARTINI,"JORONG PALUPUH, Desa/Kelurahan Pasia Laweh, Pasia Laweh, Palupuh, Kabupaten Agam, Sumatera Barat Telp. 081*********",13911
48.,CV  Lajuna Industri Abadi,"Kp. Cinyompok No. 15, Tenjo, Tenjo, Kabupaten Bogor, Jawa Barat Telp. 02159763001",28210
49.,PR  M. Ridwan,Telp.,
